Battery,FromToID,cycle_number,cycle_start,duration_months,short_cycle,model,qi,Di,b,r_squared,low_confidence,low_confidence_reason,EUR,hc_sequence,NPV,IRR,payback_months
Mahihkan Battery 02-21,ABWI102152106604W400,5,2025-07-01,12,False,harmonic,275.93099870929086,0.1966779101028321,1.0,0.8597355558487384,False,,1801.370399605231,3,390592.18080792716,299.4749928093307,2.0
Mahihkan Battery 02-21,ABWI102152806504W400,1,2022-08-01,7,False,exponential,425.5179679363769,0.2665996379804135,0.0,0.987128506178894,False,,1536.985016518005,1,312945.285433765,184987.17794653858,1.0
Mahihkan Battery 02-21,ABWI102152906504W400,2,2024-03-01,28,False,harmonic,177.21987586678162,0.0244361574166013,1.0,0.5376145748598833,False,,3816.873934500912,1,976153.5530667688,54.233110390354106,3.0
Mahihkan Battery 02-21,ABWI102160406604W400,1,2023-01-01,11,False,harmonic,1318.66134342867,0.3854125317830106,1.0,0.744818796218641,False,,6240.396876694403,1,1859271.8277743119,,0.0
Mahihkan Battery 02-21,ABWI102160406604W400,3,2024-06-01,21,False,exponential,1071.161287613129,0.0463179697990151,0.0,0.7249219906697262,False,,14718.591134421247,2,4475660.598692891,,0.0
Mahihkan Battery 02-21,ABWI102160506604W400,5,2024-09-01,10,False,harmonic,209.46633516901267,0.0544763459619798,1.0,0.5520091753361415,False,,1709.602936609095,1,361012.34237873147,96.69536295085338,2.0
Mahihkan Battery 02-21,ABWI102160906604W400,2,2024-04-01,24,False,harmonic,409.1525301660677,0.1567937063741589,1.0,0.920985612615314,False,,4239.853797803015,1,1146626.4808556817,278180.18398538907,1.0
Mahihkan Battery 02-21,ABWI102161006504W402,1,2023-10-01,23,False,exponential,866.7216825085214,0.0707161494402775,0.0,0.6978553384829356,False,,10198.73344372954,1,3048190.731482805,,0.0
Mahihkan Battery 02-21,ABWI102161006604W400,3,2023-09-01,8,False,harmonic,2149.9454218526,0.434478914901488,1.0,0.6604582806704453,False,,8323.427073843635,1,2567770.1194684478,,0.0
Mahihkan Battery 02-21,ABWI102161006604W400,4,2024-05-01,15,False,harmonic,1814.8837543292047,0.1638434799546915,1.0,0.9255317502918944,False,,14409.573132298216,2,4481696.099632399,,0.0
Mahihkan Battery 02-21,ABWI102161006604W400,5,2025-08-01,11,False,harmonic,825.0405792241953,0.250243890892889,1.0,0.6103184484324523,False,,4678.588113650536,3,1339992.6042651983,,0.0
Mahihkan Battery 02-21,ABWI102161506504W400,2,2023-01-01,8,False,exponential,180.3470378989159,0.3221116408543059,0.0,0.9171655528954468,False,,605.1174988735205,1,1981.7942908188415,0.16943215230314568,7.0
Mahihkan Battery 02-21,ABWI102161606504W400,2,2023-12-01,31,False,exponential,338.2881697011897,0.0294884255890039,0.0,0.8822683799442503,False,,6975.102564700776,1,1943411.3468593378,19340.041801834766,1.0
Mahihkan Battery 02-21,ABWI102162906504W400,2,2023-11-01,25,False,exponential,252.4250713343582,0.030415373867841,0.0,0.6749063175185994,False,,4487.016323236419,1,1202437.1040244354,563.5485792454282,2.0
Mahihkan Battery 02-21,ABWI102162906504W400,3,2025-12-01,7,False,harmonic,163.70724574702817,0.1095602068773042,1.0,0.6320423877038188,False,,887.1112795061168,2,94491.25741211548,7.192790843592801,4.0
Mahihkan Battery 02-21,ABWI103010306604W400,2,2023-05-01,6,False,harmonic,235.7349771795036,1.3358722008270534,1.0,0.856288032813044,False,,515.7911123502969,1,-26924.731573452445,-0.6771709100844929,
Mahihkan Battery 02-21,ABWI103010306604W400,4,2024-10-01,15,False,harmonic,175.1487380178998,0.387756005875827,1.0,0.8405640981418718,False,,947.139535721878,2,109810.54356360162,3.8713008692019644,5.0
