Battery,FromToID,cycle_number,cycle_start,duration_months,short_cycle,model,qi,Di,b,r_squared,low_confidence,low_confidence_reason,EUR,hc_sequence
Nabiye 11-23,ABWI102103506603W402,4,2025-10-01,7,False,harmonic,3152.4022293421885,0.5252847375066287,1.0,0.8336820653326024,False,,9257.970064285406,2
Nabiye 11-23,ABWI102103606603W400,5,2025-04-01,9,False,exponential,448.3591506468677,0.2484199907908363,0.0,0.7878963761648632,False,,1611.889798586046,1
Nabiye 11-23,ABWI102111106603W400,1,2023-03-01,8,False,exponential,1006.0479392433192,0.3419340444713739,0.0,0.8938057923555579,False,,2751.3852554403206,1
Nabiye 11-23,ABWI102111106603W400,5,2025-03-01,13,False,harmonic,878.2618641168284,0.1685539213307482,1.0,0.7907056140567648,False,,6046.330528735542,2
Nabiye 11-23,ABWI102111206603W400,1,2023-02-01,11,False,harmonic,206.8403728156424,1.865357647131297,1.0,0.8189634855483743,False,,340.298971133283,1
Nabiye 11-23,ABWI102111206603W400,5,2025-11-01,8,False,harmonic,148.5970008522701,0.3567975148828218,1.0,0.8296305681911196,False,,561.9113926405623,2
Nabiye 11-23,ABWI102112306603W400,1,2022-07-01,10,False,exponential,2508.061142321817,0.2351769107823786,0.0,0.6689999891073067,False,,9649.2985924948,1
Nabiye 11-23,ABWI102112306603W400,3,2023-12-01,13,False,exponential,1536.3857439765457,0.1054548239326433,0.0,0.5382901278844351,False,,10870.395082409485,2
Nabiye 11-23,ABWI102112406603W400,3,2024-01-01,14,False,exponential,275.87146183256,0.1972673469444406,0.0,0.8635004317203997,False,,1310.1077174948532,1
Nabiye 11-23,ABWI102112606603W400,2,2022-12-01,7,False,exponential,595.9415766878793,0.3745959974632369,0.0,0.7095159585418368,False,,1475.3213047576974,1
Nabiye 11-23,ABWI102112606603W400,4,2023-11-01,12,False,harmonic,795.2668216381547,0.1661148623597949,1.0,0.6297497933431997,False,,5248.974257674372,2
Nabiye 11-23,ABWI102121306603W400,4,2024-02-01,6,False,harmonic,314.3673559387776,1.0472625979929526,1.0,0.9801342118183708,False,,596.0441114312196,1
Nabiye 11-23,ABWI102121906602W400,4,2024-07-01,6,False,exponential,1511.1959356001432,0.6608498996530286,0.0,0.9430682883478096,False,,2243.375334679739,1
Nabiye 11-23,ABWI102122406603W400,4,2024-01-01,12,False,exponential,384.9037135248895,0.1570855665443199,0.0,0.7232735868937465,False,,2078.266756042559,1
Nabiye 11-23,ABWI102122506603W400,1,2022-07-01,12,False,harmonic,833.0391807407539,0.702236781700353,1.0,0.9482322130868353,False,,2661.4588382081624,1
Nabiye 11-23,ABWI102122506603W400,3,2024-04-01,24,False,harmonic,251.58465890112936,0.1768190358380913,1.0,0.5909758472782647,False,,2357.668055286514,2
Nabiye 11-23,ABWI102132506603W400,1,2022-09-01,10,False,exponential,491.4264840627437,0.3148900070094794,0.0,0.8880727372591161,False,,1493.6791506477336,1
Nabiye 11-23,ABWI102140206603W400,2,2023-03-01,7,False,exponential,420.9130285465157,0.5132277766981888,0.0,0.9173687230435742,False,,797.5535415179355,1
Nabiye 11-23,ABWI102140206603W400,7,2025-08-01,11,False,harmonic,768.3356802090238,0.149113814167541,1.0,0.8913521053740432,False,,5002.604276436046,2
Nabiye 11-23,ABWI102142506603W400,1,2022-09-01,11,False,exponential,314.44847591765074,0.2463181517150595,0.0,0.759765604169103,False,,1191.6117657750483,1
Nabiye 11-23,ABWI102142506603W400,4,2024-11-01,6,False,harmonic,388.9238663639927,0.2328928629222437,1.0,0.7281042294545317,False,,1460.1657274151305,2
Nabiye 11-23,ABWI102143106602W400,3,2024-12-01,10,False,exponential,2193.3637881978693,0.3573060008554013,0.0,0.9918005137738668,False,,5966.304619428523,1
Nabiye 11-23,ABWI102143606603W400,3,2024-05-01,13,False,exponential,704.3465039890948,0.0941295929778564,0.0,0.6645334256539089,False,,5281.728696747525,1
Nabiye 11-23,ABWI102143606603W400,4,2025-06-01,13,False,exponential,506.2030037143557,0.0931336588201409,0.0,0.5114258183016758,False,,3815.655293655106,2
Nabiye 11-23,ABWI102150706602W400,2,2023-12-01,16,False,harmonic,1302.802077657699,0.5177134409060117,1.0,0.7622329916561343,False,,5607.2370688836545,1
Nabiye 11-23,ABWI102150706602W400,4,2025-09-01,10,False,exponential,2172.493202249314,0.2009950876814077,0.0,0.9643748440670368,False,,9360.375118923199,2
Nabiye 11-23,ABWI102151206603W400,2,2023-02-01,6,False,exponential,193.58074844528613,0.3980446624674892,0.0,0.9466521123812222,False,,441.68977353447616,1
Nabiye 11-23,ABWI102151406603W402,1,2022-10-01,22,False,harmonic,2065.9500748327982,0.4147610857829154,1.0,0.6505764845074358,False,,11531.067055678104,1
Nabiye 11-23,ABWI102151406603W402,3,2024-12-01,6,False,exponential,758.3120918952635,0.3402727679654948,0.0,0.9676451585375178,False,,1939.2412548078535,2
Nabiye 11-23,ABWI102151406603W402,4,2025-06-01,7,False,exponential,236.7451529821641,0.4236256033246679,0.0,0.8044345926193512,False,,530.0508001037215,3
Nabiye 11-23,ABWI102151906602W400,1,2022-05-01,11,False,harmonic,2397.815200568647,0.3661244935062751,1.0,0.6268614293339836,False,,10576.25024557498,1
Nabiye 11-23,ABWI102151906602W400,4,2024-04-01,11,False,exponential,873.1128352040979,0.2571608872265044,0.0,0.6950117712337643,False,,3194.5936144555026,2
Nabiye 11-23,ABWI102151906602W400,5,2025-03-01,7,False,exponential,605.1049731389128,0.3181122956999228,0.0,0.6633967090738382,False,,1696.9778869455338,3
Nabiye 11-23,ABWI102152406603W400,2,2023-04-01,7,False,exponential,289.2439990905557,0.2430198442540076,0.0,0.801319205541253,False,,973.0235512908023,1
Nabiye 11-23,ABWI102152406603W400,4,2025-02-01,10,False,harmonic,174.62356645286846,0.9491311071388714,1.0,0.793918487531357,False,,432.4597166747557,2
Nabiye 11-23,ABWI102153506603W400,1,2022-07-01,10,False,exponential,2294.7493666939963,0.1518681681281881,0.0,0.6096301571557876,False,,11801.013594693497,1
